Rank,Streamer,start_month,avg_avg_viewers
5,nickmercs,17-Jul,2624.75
5,nickmercs,17-Jun,1712.590909
5,nickmercs,17-May,1688.869565
5,nickmercs,17-Apr,1995.6
5,nickmercs,17-Mar,2329.769231
5,nickmercs,17-Feb,2853.64
5,nickmercs,17-Jan,3514.307692
5,nickmercs,16-Dec,3735.5
5,nickmercs,16-Nov,4334.346154
5,nickmercs,16-Oct,4177.954545
5,nickmercs,16-Sep,3254.64
5,nickmercs,16-Aug,4063.391304
5,nickmercs,16-Jul,4143.423077
5,nickmercs,16-Jun,3877.958333
5,nickmercs,16-May,3673.521739
5,nickmercs,16-Apr,3354.916667
5,nickmercs,16-Mar,3148.28
5,nickmercs,16-Feb,3104.677419
5,nickmercs,16-Jan,3155.692308
5,nickmercs,15-Dec,2488.148148
5,nickmercs,15-Nov,1794.24
5,nickmercs,15-Oct,1288.137931
5,nickmercs,15-Sep,823.2666667
5,nickmercs,15-Aug,807.4117647
5,nickmercs,15-Jul,1002.933333
6,auronplay,21-Mar,72322
6,auronplay,21-Feb,88934.19048
6,auronplay,21-Jan,159057.9545
6,auronplay,20-Dec,87637.83333
6,auronplay,20-Nov,90679.6087
6,auronplay,20-Oct,83446.65385
6,auronplay,20-Sep,86191.40909
6,auronplay,20-Aug,85869
6,auronplay,20-Jul,72088.24
6,auronplay,20-Jun,98645.72
6,auronplay,20-May,101553.4545
6,auronplay,20-Apr,55295.48
6,auronplay,20-Mar,42333.61538
6,auronplay,20-Feb,45134.54545
6,auronplay,20-Jan,48703.5
6,auronplay,19-Dec,55069.05882
6,auronplay,19-Nov,26707.86957
6,auronplay,19-Oct,9630.296296
6,auronplay,19-Sep,8493.692308
7,esl_csgo,21-Mar,13452.46154
7,esl_csgo,21-Feb,11130.69231
7,esl_csgo,21-Jan,1454
7,esl_csgo,20-Dec,6112.285714
7,esl_csgo,20-Nov,10240.69231
7,esl_csgo,20-Oct,8206.1
7,esl_csgo,20-Sep,12706.68421
7,esl_csgo,20-Aug,6802.210526
7,esl_csgo,20-Jul,1095
7,esl_csgo,20-Jun,2255.7
7,esl_csgo,20-May,19725.25
7,esl_csgo,20-Apr,20593.35714
7,esl_csgo,20-Mar,15366.83333
7,esl_csgo,20-Feb,11096.89474
7,esl_csgo,20-Jan,2952.666667
7,esl_csgo,19-Dec,11877
7,esl_csgo,19-Nov,10632.72727
7,esl_csgo,19-Oct,9395.933333
7,esl_csgo,19-Sep,3106.727273
7,esl_csgo,19-Aug,3678
7,esl_csgo,19-Jul,9025.571429
7,esl_csgo,19-Jun,7962.583333
7,esl_csgo,19-May,10945.44444
7,esl_csgo,19-Apr,7413.5
7,esl_csgo,19-Mar,13988.83333
7,esl_csgo,19-Feb,18071.54545
7,esl_csgo,19-Jan,8038.5
7,esl_csgo,15-Dec,24711.36364
7,esl_csgo,15-Nov,11650.62069
7,esl_csgo,15-Oct,10340.48387
7,esl_csgo,15-Sep,21100.52
7,esl_csgo,15-Aug,67502.86364
7,esl_csgo,15-Jul,8354.444444
8,loltyler1,21-Mar,27856.85714
8,loltyler1,21-Feb,28807.61905
8,loltyler1,21-Jan,30777.31818
8,loltyler1,20-Dec,23338.04
8,loltyler1,20-Nov,33651.7619
8,loltyler1,20-Oct,32408.70833
8,loltyler1,20-Sep,36549.24
8,loltyler1,20-Aug,22829.68182
8,loltyler1,20-Jul,24371
8,loltyler1,20-Jun,28589.27273
8,loltyler1,20-Apr,24733.9
8,loltyler1,20-Mar,25189.19048
8,loltyler1,20-Feb,29685.52381
8,loltyler1,20-Jan,22281.84
8,loltyler1,19-Dec,23277.875
8,loltyler1,19-Nov,23038.42857
8,loltyler1,19-Oct,14484.71429
8,loltyler1,19-Sep,14475.66667
8,loltyler1,19-Aug,16161.6
8,loltyler1,19-Jul,12476.95238
8,loltyler1,19-Jun,13907.125
8,loltyler1,19-May,15585.89474
8,loltyler1,19-Apr,18847.11111
8,loltyler1,19-Mar,29031.26087
8,loltyler1,19-Feb,17941.47059
8,loltyler1,19-Jan,20736.25
8,loltyler1,18-Dec,24593.5
8,loltyler1,18-Nov,19165.95652
8,loltyler1,18-Oct,14463.88889
8,loltyler1,18-Sep,13976.77778
8,loltyler1,18-Aug,17550
8,loltyler1,18-Jul,17335.73913
8,loltyler1,18-Jun,14741.54167
8,loltyler1,18-May,18671.1
8,loltyler1,18-Apr,20166.22222
8,loltyler1,18-Mar,22375.63636
8,loltyler1,18-Feb,23044.16
8,loltyler1,18-Jan,42690.67857
8,loltyler1,17-Nov,165518
8,loltyler1,17-Oct,10618.28571
8,loltyler1,17-Sep,10882.71429
8,loltyler1,17-Aug,11839.76471
8,loltyler1,17-Jul,16977.82353
8,loltyler1,17-May,11707
8,loltyler1,17-Apr,8913.107143
8,loltyler1,17-Mar,10074.23529
8,loltyler1,17-Feb,10320.4
8,loltyler1,17-Jan,11024.375
8,loltyler1,16-Dec,9923.086957
8,loltyler1,16-Nov,7894.846154
8,loltyler1,16-Oct,6622.47619
8,loltyler1,16-Sep,6232
8,loltyler1,16-Aug,7441.75
8,loltyler1,16-Jul,6089.318182
8,loltyler1,16-Jun,4414.130435
8,loltyler1,16-May,6118.95
8,loltyler1,16-Apr,2753.714286
8,loltyler1,16-Mar,215.1428571
8,loltyler1,16-Feb,13.05263158
8,loltyler1,16-Jan,1.5
9,rubius,21-Mar,46205.5
9,rubius,21-Feb,57535.09091
9,rubius,21-Jan,90470.13333
9,rubius,20-Dec,68632.16667
9,rubius,20-Nov,55172.45833
9,rubius,20-Oct,61406.05556
9,rubius,20-Sep,70222.72727
9,rubius,20-Aug,58171.40909
9,rubius,20-Jul,60071.29412
9,rubius,20-Jun,61526.25
9,rubius,20-May,65548.25
9,rubius,20-Apr,53303.91304
9,rubius,20-Mar,42911.95833
9,rubius,20-Feb,36342.5
9,rubius,20-Jan,42998.66667
9,rubius,19-Dec,37707.22222
9,rubius,19-Nov,32461.78947
9,rubius,19-Oct,30976.28571
9,rubius,19-Sep,16674.38889
9,rubius,19-Aug,21852.5
9,rubius,19-Jul,15484.2
9,rubius,19-Jun,11837.6875
9,rubius,19-May,10601.41176
9,rubius,19-Apr,12020.89474
9,rubius,19-Mar,14940
9,rubius,19-Feb,17566.08696
9,rubius,19-Jan,18145.85
9,rubius,18-Dec,11475.57143
9,rubius,18-Nov,13099.4
9,rubius,16-Jan,13166.66667
9,rubius,15-Dec,13575
9,rubius,15-Aug,21996.5
10,fextralife,21-Mar,15020.53571
10,fextralife,21-Feb,14847.60465
10,fextralife,21-Jan,16298.97959
10,fextralife,20-Dec,16541
10,fextralife,20-Nov,16200.75472
10,fextralife,20-Oct,19107.91071
10,fextralife,20-Sep,17521.5102
10,fextralife,20-Aug,19217.31915
10,fextralife,20-Jul,20697.59184
10,fextralife,20-Jun,17609.28889
10,fextralife,20-May,24989.075
10,fextralife,20-Apr,27436.48571
10,fextralife,20-Mar,19786.39474
10,fextralife,20-Feb,17528.875
10,fextralife,20-Jan,19100.15789
10,fextralife,19-Dec,10661.03226
10,fextralife,19-Nov,11660.41463
10,fextralife,19-Oct,10788.17143
10,fextralife,19-Sep,13454.71875
10,fextralife,19-Aug,10452.06897
10,fextralife,19-Jul,11865.07692
10,fextralife,19-Jun,11413.3913
10,fextralife,19-May,12071.85366
10,fextralife,19-Apr,14358.22857
10,fextralife,19-Mar,14345.80556
10,fextralife,19-Feb,9325.578947
10,fextralife,19-Jan,10467.74286
10,fextralife,18-Dec,8414.857143
10,fextralife,18-Nov,9206.551724
10,fextralife,18-Oct,7940.763636
10,fextralife,18-Sep,6600.538462
10,fextralife,18-Aug,3234.851852
10,fextralife,18-Jul,905.9583333
10,fextralife,18-Jun,50.35294118
11,hasanabi,21-Mar,17688.1875
11,hasanabi,21-Feb,19233.24
11,hasanabi,21-Jan,33520.24138
11,hasanabi,20-Dec,17661.9375
11,hasanabi,20-Nov,42181.90909
11,hasanabi,20-Oct,22849.9697
11,hasanabi,20-Sep,13458.6
11,hasanabi,20-Aug,11714.24242
11,hasanabi,20-Jul,10890.4
11,hasanabi,20-Jun,11567.38235
11,hasanabi,20-May,7533.090909
11,hasanabi,20-Apr,6902.411765
11,hasanabi,20-Mar,7976.242424
11,hasanabi,20-Feb,6115.90625
11,hasanabi,20-Jan,4716.909091
11,hasanabi,19-Dec,3238.714286
11,hasanabi,19-Nov,2725.55
11,hasanabi,19-Oct,3345.096774
11,hasanabi,19-Sep,3160.064516
11,hasanabi,19-Aug,2213.88
11,hasanabi,19-Jul,2849.068966
11,hasanabi,19-Jun,2289.705882
11,hasanabi,19-May,2036.212121
11,hasanabi,19-Apr,2249.740741
11,hasanabi,19-Mar,2013.575758
11,hasanabi,19-Feb,2117.848485
11,hasanabi,19-Jan,1955.205882
11,hasanabi,18-Dec,639.75
11,hasanabi,18-Nov,353.9285714
11,hasanabi,18-Oct,195.8484848
11,hasanabi,18-Sep,84.81081081
11,hasanabi,18-Aug,52.95121951
11,hasanabi,18-Jul,53.57142857
11,hasanabi,18-Jun,29.92592593
11,hasanabi,18-May,29.81818182
11,hasanabi,18-Apr,34.66666667
11,hasanabi,18-Mar,20.25
12,timthetatman,21-Mar,30812.06667
12,timthetatman,21-Feb,32947.68421
12,timthetatman,21-Jan,34769.05882
12,timthetatman,20-Dec,28386.77273
12,timthetatman,20-Nov,28536.36364
12,timthetatman,20-Oct,28306.25
12,timthetatman,20-Sep,32445.04
12,timthetatman,20-Aug,55407.66667
12,timthetatman,20-Jul,35257.04348
12,timthetatman,20-Jun,28191.73913
12,timthetatman,20-May,27822.95
12,timthetatman,20-Apr,50071.90909
12,timthetatman,20-Mar,24725.94737
12,timthetatman,20-Feb,14220.75
12,timthetatman,20-Jan,17821.29412
12,timthetatman,19-Dec,18508.30435
12,timthetatman,19-Nov,15183.76471
12,timthetatman,19-Oct,22694.25
12,timthetatman,19-Sep,15882.5
12,timthetatman,19-Aug,24601.69565
12,timthetatman,19-Jul,18305.05
12,timthetatman,19-Jun,18197.6
12,timthetatman,19-May,19280.5
12,timthetatman,19-Apr,26164.58333
12,timthetatman,19-Mar,21778.21951
12,timthetatman,19-Feb,25593.51429
12,timthetatman,19-Jan,23685.25
12,timthetatman,18-Dec,25569.33333
12,timthetatman,18-Nov,22309.02439
12,timthetatman,18-Oct,21459.07692
12,timthetatman,18-Sep,22436.4
12,timthetatman,18-Aug,22499.26829
12,timthetatman,18-Jul,26787.36111
12,timthetatman,18-Jun,22382.44444
12,timthetatman,18-May,21195.83721
12,timthetatman,18-Apr,15462.42424
12,timthetatman,18-Mar,13783.34091
12,timthetatman,18-Feb,13291.8
12,timthetatman,18-Jan,12560.54545
12,timthetatman,17-Dec,12150.2439
12,timthetatman,17-Nov,12935.47619
12,timthetatman,17-Oct,11750.81579
12,timthetatman,17-Sep,11540.83333
12,timthetatman,17-Aug,10769.29268
12,timthetatman,17-Jul,12185.975
12,timthetatman,17-Jun,12837.30233
12,timthetatman,17-May,11581.51111
12,timthetatman,17-Apr,11786.12821
12,timthetatman,17-Mar,12476.32558
12,timthetatman,17-Feb,12431.94737
12,timthetatman,17-Jan,13824.8
12,timthetatman,16-Dec,12823.20513
12,timthetatman,16-Nov,11295.09524
12,timthetatman,16-Oct,8011.65
12,timthetatman,16-Sep,5516.076923
12,timthetatman,16-Aug,6957.771429
12,timthetatman,16-Jul,7114.521739
12,timthetatman,16-Jun,7230.866667
12,timthetatman,16-May,5960.1
12,timthetatman,16-Apr,6150.638889
12,timthetatman,16-Mar,5276.693878
12,timthetatman,16-Feb,5930.073171
12,timthetatman,16-Jan,5431.325581
12,timthetatman,15-Dec,6201.346939
12,timthetatman,15-Nov,5467.977778
12,timthetatman,15-Oct,4446.269231
12,timthetatman,15-Sep,4966.171429
12,timthetatman,15-Aug,6122.068182
12,timthetatman,15-Jul,5758.166667
13,thegrefg,21-Mar,42869.71429
13,thegrefg,21-Feb,32250.5
13,thegrefg,21-Jan,78757.12821
